;2023-12-04;2024-11-06
2006-01-01;1.019381892880752;0.8195160514273787
2006-02-01;0.7501907310331343;0.6435373179106781
2006-03-01;0.748424729271518;0.7075401412319485
2006-04-01;1.3107706143268594;1.4561211721205272
2006-05-01;0.6092010217992275;0.7474739007596855
2006-06-01;0.10721627179364979;0.2032372987383415
2006-07-01;0.9801386102914444;0.9217921791735949
2006-08-01;0.8657285902300711;0.8083664032219424
2006-09-01;0.426327486433734;0.4345181577181448
2006-10-01;0.8417019362596949;0.6950548161917254
2006-11-01;0.5261048646329046;0.46942980634407333
2006-12-01;0.5377677292025895;0.5243059822048074
2007-01-01;1.3851921033815937;1.4287679605046044
2007-02-01;1.4813927446355162;1.4764583158413793
2007-03-01;0.20568830160922988;0.2612258942460035
2007-04-01;0.7604422408605718;0.9258554830725935
2007-05-01;-0.09165264762774994;0.08413782823301952
2007-06-01;-0.23467818353736564;-0.1116054786247298
2007-07-01;0.8173919355080197;0.5492661755000026
2007-08-01;0.5368264086347481;0.38725325677026995
2007-09-01;0.3386725243605187;0.31815299958067
2007-10-01;0.38392361817254406;0.5705953527464178
2007-11-01;0.3977661775014814;0.5303543402159185
2007-12-01;0.5004361494747558;0.5430242910529728
2008-01-01;1.1720966015559229;1.0447466004688768
2008-02-01;0.5110468817185262;0.4735111175272316
2008-03-01;0.13586420405358343;0.19232545508014157
2008-04-01;0.2582850285084337;0.2687716621957096
2008-05-01;-0.7391763228301429;-0.6511689919150091
2008-06-01;-1.3247691859656952;-1.173227669461156
2008-07-01;-1.3002643816095791;-1.1690371421162595
2008-08-01;-1.1092669280518521;-0.9717251507626444
2008-09-01;-0.8570254374064137;-0.7345282076538712
2008-10-01;-0.6442163187797505;-0.6736197361399944
2008-11-01;-0.956604136648656;-0.8899058145261879
2008-12-01;-0.968292894428519;-0.8544682251513506
2009-01-01;-1.5261274705842256;-1.3537764484244907
2009-02-01;-1.7749694167671437;-1.5751853145028587
2009-03-01;-1.1641915768210325;-1.0225283086433552
2009-04-01;-0.7974569532833375;-0.99129840990614
2009-05-01;0.3757431597260493;0.22659724835910455
2009-06-01;0.7887796977598571;0.7244639717345625
2009-07-01;-1.549634654690396;-1.3382188619315905
2009-08-01;0.6421084892000024;0.6449553649212574
2009-09-01;2.5646101808942676;2.3632521410540868
2009-10-01;0.28774003097536116;0.27010823209370716
2009-11-01;0.80240787405526;0.7587677149760096
2009-12-01;0.5123668119506166;0.5197074625113722
2010-01-01;-1.2092492932665582;-1.0600444753022593
2010-02-01;-1.5168181202947733;-1.3354514761858343
2010-03-01;-1.1791928104089502;-1.0267572905117541
2010-04-01;0.5805514120271729;0.3574102493898181
2010-05-01;1.0161212128027053;0.8531726119926746
2010-06-01;1.1460381936833766;1.0560112460580373
2010-07-01;-0.16795676182815816;0.07789403328469718
2010-08-01;-1.272490251069399;-0.9913708337185431
2010-09-01;-1.0615615239237641;-0.877527396953394
2010-10-01;0.2904191791470022;0.06114104547667104
2010-11-01;0.48907108807920996;0.34026461640177497
2010-12-01;-0.17972905246619525;-0.14957146558142387
2011-01-01;-0.829545358784662;-0.8244046905214993
2011-02-01;-0.5947514742354572;-0.5523450660472712
2011-03-01;-0.1375729360342291;-0.09671508943946688
2011-04-01;-0.03455126608720427;0.2624112885768998
2011-05-01;0.46084009794238934;0.6257137007753067
2011-06-01;0.07476507766941248;0.16711333526055192
2011-07-01;-0.5572376663933376;-0.8603785979493103
2011-08-01;0.41522760983900103;0.16578791723740802
2011-09-01;0.6699847754628468;0.5792618993796016
2011-10-01;-0.3705566937335885;-0.18920032915378016
2011-11-01;-0.5278426670587588;-0.36532993154532734
2011-12-01;-0.9678507642873762;-0.8071114963219265
2012-01-01;-0.5796125574457465;-0.5419170188754757
2012-02-01;-0.6243048875027104;-0.5532171361040248
2012-03-01;-1.173928348542201;-0.9618245263337303
2012-04-01;-1.09967058073145;-1.2595317065273233
2012-05-01;-0.8744394548028818;-0.953559005144568
2012-06-01;-0.44337479451514744;-0.43498355465355487
2012-07-01;-0.33378161345718776;-0.18824441078689003
2012-08-01;-0.3362537673392522;-0.20643973496935597
2012-09-01;0.852153102306777;0.8383146224501112
2012-10-01;-1.1185347422575695;-1.086419535616002
2012-11-01;-2.073713855795873;-1.8898199415171733
2012-12-01;-1.5443572228912477;-1.3584692826664835
2013-01-01;0.1183776044893109;0.07765849376192335
2013-02-01;0.8548036299087916;0.7937907558544225
2013-03-01;1.0080116722009547;0.9512430783278568
2013-04-01;-0.5786966878961877;-0.44998449288898035
2013-05-01;-0.2583456614243063;-0.16027004610010365
2013-06-01;0.3081452043299473;0.3492653794792918
2013-07-01;0.2684800293546065;0.13538467455598452
2013-08-01;0.5200482686622723;0.4313725689072576
2013-09-01;0.7610833155373199;0.7180021791449642
2013-10-01;0.5065309502058997;0.4026533110773959
2013-11-01;0.8541436912767075;0.7834172878463928
2013-12-01;0.891843659261851;0.8476743756301266
2014-01-01;0.06607329873161577;0.0052284723769931984
2014-02-01;-0.31796380065782454;-0.28449003041032617
2014-03-01;-0.4542349702526603;-0.3847280150402268
2014-04-01;0.6407103344604219;0.7052366655397327
2014-05-01;1.005920077629717;1.0378085350893724
2014-06-01;1.1110370030735806;1.091436759160386
2014-07-01;0.3692250606382072;0.49351458468361825
2014-08-01;0.43416055767029565;0.5092832000143299
2014-09-01;0.5027787783681834;0.5225013327300602
2014-10-01;0.587460824756417;0.6031712757122656
2014-11-01;1.1713366137536916;1.130002764292028
2014-12-01;1.2273811625081787;1.1581243335299236
