;2023-12-04;2024-11-06
2006-01-01;99.30400466565376;99.41362927334796
2006-02-01;100.01424440101349;100.00206706870912
2006-03-01;100.50980109440951;100.44299132545666
2006-04-01;100.93286301045814;100.95640256348412
2006-05-01;101.381605030146;101.51140327527644
2006-06-01;101.68772911824283;101.90453105395085
2006-07-01;101.95396435978343;102.12405560851386
2006-08-01;102.26734539636904;102.36482181270924
2006-09-01;102.64949915961995;102.68452434566102
2006-10-01;102.946253257776;102.92859039691749
2006-11-01;103.15180133575902;103.09250479208164
2006-12-01;103.41890691818145;103.32148140241554
2007-01-01;103.89503376070681;103.83500637712355
2007-02-01;104.6303008815331;104.60461429603936
2007-03-01;105.18724730570379;105.19929523937611
2007-04-01;105.46395883000733;105.53566008569382
2007-05-01;105.4400412763851;105.58716750284266
2007-06-01;105.5043881427162;105.7031538560177
2007-07-01;105.8291846667321;105.88176935560423
2007-08-01;106.18425063240599;106.07423397658101
2007-09-01;106.5508353148638;106.32468529878003
2007-10-01;106.58008806956718;106.49167161200415
2007-11-01;106.63966404385314;106.70322678033872
2007-12-01;106.83423694265899;106.98804211066759
2008-01-01;107.38241037901028;107.43339138613517
2008-02-01;107.95069251683351;107.88505212112548
2008-03-01;108.37208459947874;108.23994012991423
2008-04-01;108.45263786490044;108.34770984716874
2008-05-01;108.35953641427398;108.29537535457888
2008-06-01;108.0169801429815;107.99646310340142
2008-07-01;107.39084721186836;107.4256625364678
2008-08-01;106.72407063643185;106.81744936805464
2008-09-01;106.31300783033996;106.44036272372489
2008-10-01;106.22147195925896;106.31254899645579
2008-11-01;106.10497309349958;106.16372533860469
2008-12-01;105.8712582949444;105.92334152553688
2009-01-01;105.25304131632134;105.39677438166217
2009-02-01;104.49394541289496;104.73098080882939
2009-03-01;103.81234027378076;104.10757167151795
2009-04-01;103.52666746208344;103.7100749831277
2009-05-01;103.41983832750678;103.47685558729245
2009-06-01;103.41587636599192;103.381889296834
2009-07-01;102.5980396391536;102.71165236585733
2009-08-01;101.83474185148674;102.1029376772697
2009-09-01;101.63524504192321;101.96884164457256
2009-10-01;102.0200104988722;102.29914583344325
