fecha;2026-05-26;2026-06-09
2006-01-01;100.0;100.0
2006-04-01;101.27131140335402;101.26932594034415
2006-07-01;101.70012937166483;101.69806402634146
2006-10-01;102.15607620081823;102.15261937005988
2007-01-01;103.49759568680675;103.49201943675
2007-04-01;103.4558106915601;103.4485406078025
2007-07-01;103.84840264951805;103.84133635946228
2007-10-01;104.82890545897644;104.81854341394929
2008-01-01;105.93384327360094;105.92163727070752
2008-04-01;105.41664003054863;105.4029437896016
2008-07-01;104.86407528683888;104.84979473053065
2008-10-01;104.95155089197732;104.93297823376538
2009-01-01;103.0120243829175;102.99172150431849
2009-04-01;103.40143835752366;103.38008848247044
2009-07-01;102.85126542405887;102.82907688056405
2009-10-01;103.59619191779211;103.57022035002196
2010-01-01;102.99831131267565;102.97127529890459
2010-04-01;103.7069860565239;103.67959013039386
2010-07-01;104.15814058140322;104.1284132027244
2010-10-01;104.28346795981545;104.25212486128301
2011-01-01;104.75774144277268;104.72411797394456
2011-04-01;104.33592294583042;104.30222726172256
2011-07-01;104.91764271062897;104.88098534602838
2011-10-01;104.8137374387364;104.77714683006128
2012-01-01;105.43746969370507;105.39751479500687
2012-04-01;104.11357720839526;104.07346206433334
2012-07-01;104.57165586840568;104.52756233060505
2012-10-01;103.60525715168751;103.56333969198421
2013-01-01;103.29722160652419;103.25044613737168
2013-04-01;104.0911691877284;104.0438594267783
2013-07-01;104.21835577375991;104.167996904979
2013-10-01;103.97754219515414;103.93056061715825
2014-01-01;105.51796608700693;105.4659890617862
2014-04-01;105.59965356481321;105.54548881900487
2014-07-01;106.05513789718519;105.99872345768021
2014-10-01;106.04577213301437;105.99248016906692
2015-01-01;106.51748821374183;106.45909491880477
2015-04-01;108.63350681141077;108.57298923582621
2015-07-01;108.90418012073665;108.84135550289477
2015-10-01;108.53524754129279;108.47472335851525
2016-01-01;110.20125944267319;110.13568854097227
2016-04-01;109.8031834315589;109.73576998242612
2016-07-01;111.61401675547916;111.54423571150959
2016-10-01;111.56236233647485;111.49349509505402
2017-01-01;112.78599048190823;112.71314613722183
2017-04-01;113.15467871866376;113.08058954422292
2017-07-01;113.64868126745196;113.57274122065776
2017-10-01;115.40603250600198;115.32886384094317
2018-01-01;114.93734959046064;114.85697730625374
2018-04-01;115.18942649692752;115.10666625227344
2018-07-01;115.6682316492924;115.58467494847915
2018-10-01;115.80316862426643;115.71841908345239
2019-01-01;118.02899703329243;117.94131610048984
2019-04-01;117.66101664747573;117.56818530331498
2019-07-01;118.09493325506777;118.00310843199412
2019-10-01;118.35618966269642;118.26375833444696
2020-01-01;118.07424580878605;117.98026465419514
2020-04-01;112.23776285336945;112.13373292404249
2020-07-01;109.60206289519944;109.51011607023507
2020-10-01;114.54828205694028;114.45065024794168
2021-01-01;114.91633981300208;114.8183032219843
2021-04-01;116.18124922063387;116.0696892639957
2021-07-01;116.91177519595672;116.80644566653338
2021-10-01;119.14597127544143;119.03976978124301
2022-01-01;120.53036815872163;120.42393805527657
2022-04-01;120.13453290611338;120.00786262863222
2022-07-01;122.65203940078949;122.5374983412474
2022-10-01;121.9135295923512;121.79876029596417
2023-01-01;121.45996325854667;121.34611928887196
2023-04-01;123.35223046449806;123.20862965804633
2023-07-01;122.5274566929439;122.40656618747109
2023-10-01;123.78383418382766;123.66238130989584
2024-01-01;124.20420383797884;124.08532890876053
2024-04-01;124.85965914155842;124.69534440859314
2024-07-01;125.55801050786957;125.42922963182936
2024-10-01;126.1087506510123;125.98105140490864
2025-01-01;128.18588908179677;128.06281010228167
2025-04-01;128.81311223063534;128.6207042275963
2025-07-01;129.47923230754813;129.34425412417136
2025-10-01;131.00255236287168;130.86978299531592
2026-01-01;129.5311128839645;129.43039330528737
2026-04-01;131.93274302329758;132.15337107228478
