;2024-11-06;2025-02-10
2006-01-01;99.45347076173002;99.45263443425617
2006-02-01;99.99965353035405;99.99959323736374
2006-03-01;100.41368777905028;100.41435985912614
2006-04-01;100.9391711286484;100.94051124684069
2006-05-01;101.50450971938584;101.50675769575699
2006-06-01;101.89650500845457;101.90048156065747
2006-07-01;102.0461895844422;102.05148180782942
2006-08-01;102.22906505103776;102.23528920809397
2006-09-01;102.50266464870683;102.50908227596551
2006-10-01;102.77724321571105;102.78317403482359
2006-11-01;102.94783464619297;102.9542472004672
2006-12-01;103.16714196327979;103.17410108776863
2007-01-01;103.64826758285312;103.65592650433825
2007-02-01;104.41333522412545;104.42089979693633
2007-03-01;105.01472152492443;105.0222681337448
2007-04-01;105.29219515229082;105.30014625363084
2007-05-01;105.27091357562423;105.27956247128728
2007-06-01;105.32122246904856;105.3311381705648
2007-07-01;105.53656834155747;105.54808224985015
2007-08-01;105.74278553116655;105.7554163760623
2007-09-01;105.99646876918021;106.00933591422694
2007-10-01;106.0881168324487;106.09956671180524
2007-11-01;106.25945655829659;106.27063034561067
2007-12-01;106.50536628287351;106.51682118829109
2008-01-01;106.97914168399615;106.99168180045115
2008-02-01;107.44593460432037;107.4583287119201
2008-03-01;107.83205520020775;107.84442970542219
2008-04-01;107.92398381977513;107.93674683430842
2008-05-01;107.83737514411132;107.85133963471569
2008-06-01;107.46786728303374;107.48250371187649
2008-07-01;106.73701482867406;106.7516634647997
2008-08-01;106.031213570831;106.04549639579858
2008-09-01;105.57518541171093;105.58850450496573
2008-10-01;105.62293940555912;105.63645393823187
2008-11-01;105.57705202567091;105.5921801808706
2008-12-01;105.45027645751499;105.46715363357742
2009-01-01;104.79700570861966;104.8150921696215
2009-02-01;104.04699733186607;104.06438268361588
2009-03-01;103.30928351950651;103.32695555001801
2009-04-01;102.99695770851804;103.01474149988945
2009-05-01;102.85586733599548;102.87478956021425
2009-06-01;102.89668923479144;102.91612663492835
2009-07-01;102.3090262725039;102.32896056376704
2009-08-01;101.74239709960719;101.76232818011758
2009-09-01;101.63271542617238;101.65247553257126
2009-10-01;102.1103299727893;102.13081373795845
2009-11-01;102.67760224297042;102.69981148195053
2009-12-01;102.75683460997675;102.78120725040492
2010-01-01;102.19924178023483;102.22435786317872
2010-02-01;101.45221281508364;101.4764006759574
2010-03-01;100.56109153062258;100.58489683022282
2010-04-01;100.7945300760143;100.81971106954899
2010-05-01;101.29461792145737;101.32236042703516
2010-06-01;102.04934573253155;102.07843367873139
2010-07-01;102.19053381439127;102.21987256941122
2010-08-01;102.05648032744922;102.08524217624955
2010-09-01;101.6677652499717;101.69617468786754
2010-10-01;101.52386996946373;101.55335816544738
2010-11-01;101.63813651967395;101.66939078899543
2010-12-01;101.71752514911505;101.75103905608273
2011-01-01;101.40643691220995;101.4406869057864
