;2023-12-04;2024-11-06
2006-01-01;100.0;100.0
2006-04-01;101.31077061432686;101.45612117212053
2006-07-01;102.30375659350167;102.39133576237802
2006-10-01;103.16484929361559;103.10301167295746
2007-01-01;104.59388063949628;104.576114470056
2007-04-01;105.3892566892343;105.5443381598613
2007-07-01;106.25069997430396;106.12405750952875
2007-10-01;106.65862150597896;106.72959644982406
2008-01-01;107.90876358391694;107.84465028042774
2008-04-01;108.18747576470277;108.13450613957559
2008-07-01;106.78075255197184;106.87037359935997
2008-10-01;106.09285351871621;106.15047367070812
2009-01-01;104.4737413368404;104.71343355826303
2009-04-01;103.64060822219452;103.67541095644185
2009-07-01;102.03455744085149;102.28800705183765
2009-10-01;102.32815170803737;102.56429537932925
2010-01-01;101.09074925669519;101.47706823252798
2010-04-01;101.67763302893378;101.83975767517134
2010-07-01;101.50685856899487;101.91908476991189
2010-10-01;101.80165395442886;101.98139916388047
2011-01-01;100.95716305888386;101.14065972571399
2011-04-01;100.9222810808413;101.4060642341754
2011-07-01;100.3599041168755;100.53358816048183
2011-10-01;99.9880137743458;100.34337828077209
2012-01-01;99.40847069056912;99.79960043655399
2012-04-01;98.31530498362989;98.542592826068
2012-07-01;97.98714657238017;98.35709190282844
2012-10-01;96.89112629502125;97.28852124173233
2013-01-01;97.00582368929201;97.36407404193191
2013-04-01;96.44445420053567;96.92595080709827
2013-07-01;96.70338829948416;97.05717369015876
2013-10-01;97.19322089111884;97.44797761366034
2014-01-01;97.2574396583051;97.4530726542518
2014-04-01;97.88057812522747;98.14034745430467
2014-07-01;98.24197774916338;98.62468438245084
2014-10-01;98.81911088190564;99.21956014940766
2015-01-01;99.5194961769655;99.96394746944911
2015-04-01;100.80577262957308;101.12876262594366
2015-07-01;101.23723745786046;101.60624259119543
2015-10-01;102.3692703333542;102.65829169224142
2016-01-01;103.03951076983934;103.37833744370073
2016-04-01;103.36401240840047;103.75433082513638
2016-07-01;104.12492774785788;104.37796760960042
2016-10-01;104.48158706620599;104.95578632804768
2017-01-01;105.45469566457513;105.72977640655714
2017-04-01;106.0869033096274;106.54828776394415
2017-07-01;107.10029922552415;107.4326869113942
2017-10-01;107.95964555877315;108.17985414553665
2018-01-01;108.39545328613903;108.54502800728227
2018-04-01;108.15457314278686;108.28732972499765
2018-07-01;109.22392118058367;109.31708972955
2018-10-01;109.21778629300377;109.33120010312284
2019-01-01;110.35296317709505;110.6048952271913
2019-04-01;110.66377546278872;111.17396802525903
2019-07-01;111.51003162222081;111.92082685751276
2019-10-01;111.993511183149;112.32549089645329
2020-01-01;111.70503666719408;111.24662424064654
2020-04-01;102.58348410073125;102.64972463006737
2020-07-01;98.07466021831347;98.7281875645762
2020-10-01;106.26432686342378;106.60210051814443
2021-01-01;106.3557852371429;106.7645561512206
2021-04-01;107.32729756424989;108.32086362700429
2021-07-01;109.19812323823332;109.87793509671722
2021-10-01;111.20394075958167;112.06309952174996
2022-01-01;114.13576224110093;114.10686739950756
2022-04-01;111.76634052270558;113.21969517355869
2022-07-01;113.93304772232993;114.7190345564169
2022-10-01;114.91743826853339;115.64322350711721
2023-01-01;115.41954464179838;115.86790152217614
2023-04-01;115.99927575400801;116.66557288010695
2023-07-01;115.84667268560116;116.74242214843417
2023-10-01;116.8771226005235;117.91970364383059
2024-01-01;118.06274158780954;118.6065899821467
2024-04-01;118.32440228356727;119.68516609949285
2024-07-01;119.17885303239133;120.62568286909274
2024-10-01;120.20672972964537;121.93331003921092
